_10_14_mcg_dl,_15_19_mcg_dl,_2000_population_of_children_6_and_under,_20_24_mcg_dl,_25_44_mcg_dl,_45_mcg_dl,county,total_tested,lrate1,lrate2,lrate3,lrate4,lrate5,lscore,Year
17,7,4355,1,4,0,Henry,729,23.31961591,9.602194787,1.371742112,5.48696845,0,56.92729767,2004
12,1,2762,0,0,0,Iroquois,328,36.58536585,3.048780488,0,0,0,41.15853659,2004
14,3,4187,0,1,1,Jackson,814,17.1990172,3.685503686,0,1.228501229,1.228501229,32.55528256,2004
2,0,817,0,1,0,Jasper,121,16.52892562,0,0,8.26446281,0,41.32231405,2004
7,1,3352,0,1,0,Jefferson,542,12.91512915,1.84501845,0,1.84501845,0,21.21771218,2004
2,1,1845,0,0,1,Jersey,242,8.26446281,4.132231405,0,0,4.132231405,35.12396694,2004
7,0,1791,0,0,0,Jo Daviess,184,38.04347826,0,0,0,0,38.04347826,2004
0,0,841,0,0,0,Johnson,59,0,0,0,0,0,0,2004
142,39,49455,19,27,2,Kane,6332,22.42577385,6.159191409,3.000631712,4.264055591,0.31585597,52.037271,2004
45,14,10337,6,5,1,Kankakee,2451,18.35985312,5.711954304,2.447980416,2.03998368,0.407996736,39.98368013,2004
3,2,6223,0,4,0,Kendall,372,8.064516129,5.376344086,0,10.75268817,0,48.38709677,2004
35,14,4532,3,11,0,Knox,903,38.75968992,15.50387597,3.322259136,12.18161683,0,105.2048726,2004
58,26,75283,11,5,0,Lake,8026,7.22651383,3.239471717,1.370545726,0.62297533,0,16.69573885,2004
30,9,9978,2,3,0,LaSalle,1518,19.76284585,5.928853755,1.317523057,1.976284585,0,37.22002635,2004
3,3,1189,0,1,0,Lawrence,299,10.03344482,10.03344482,0,3.344481605,0,35.11705686,2004
12,3,2884,2,1,0,Lee,291,41.2371134,10.30927835,6.872852234,3.436426117,0,80.75601375,2004
29,5,3410,2,2,0,Livingston,758,38.2585752,6.596306069,2.638522427,2.638522427,0,61.34564644,2004
10,3,2406,0,0,0,Logan,352,28.40909091,8.522727273,0,0,0,41.19318182,2004
5,2,2058,0,1,0,McDonough,298,16.77852349,6.711409396,0,3.355704698,0,36.91275168,2004
16,3,30310,1,1,0,McHenry,1734,9.2272203,1.730103806,0.576701269,0.576701269,0,14.70588235,2004
20,5,13763,0,5,2,McLean,1893,10.56524036,2.64131009,0,2.64131009,1.056524036,27.73375594,2004
132,35,10477,11,0,1,Macon,2906,45.42326222,12.0440468,3.785271851,0,0.344115623,72.78045423,2004
7,2,4031,1,0,0,Macoupin,483,14.49275362,4.140786749,2.070393375,0,0,24.8447205,2004
